,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
27,"Denver, Colorado, United States",within an hour,100.0,100.0,t,City Park,3,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Private room in home,Private room,1.0,30,1125,t,12,159,6,1,4.77,4.79,4.92,4.86,4.86,4.8,4.72,f,55.0,55.0,0.0,1.0,2.0,1.39,12,13,282,42.49315068493151,77.26027397260275,1 private bath,27.5,2.0,0.0,0.0
28,"Denver, Colorado, United States",response not available,97.30020366598778,92.34353541298803,f,Five Points,0,"['email', 'phone']",t,"Denver, Colorado, United States",Entire loft,Entire home/apt,2.0,180,180,t,30,37,0,0,4.59,4.61,4.42,4.44,4.78,4.53,4.28,t,200.0,200.0,0.0,2.0,4.0,0.37,60,90,365,200.0,100.0,1 bath,50.0,2.0,0.0,0.0
29,"Denver, Colorado, United States",within a day,88.0,75.0,f,Highland,4,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Entire townhouse,Entire home/apt,2.0,29,180,t,0,162,0,0,4.88,4.94,4.9,4.97,4.91,4.95,4.88,f,143.24657534246575,143.24657534246575,22.600071004166036,2.0,4.0,1.49,0,0,80,31.424657534246574,21.91780821917808,2 baths,35.81164383561644,2.0,0.0,15.777041056747832
30,"Denver, Colorado, United States",within an hour,100.0,95.0,f,Highland,4,"['email', 'phone']",t,"Denver, Colorado, United States",Entire rental unit,Entire home/apt,2.0,29,1125,t,0,855,4,0,4.72,4.83,4.71,4.89,4.78,4.91,4.76,f,109.4,109.4,15.688555358310385,2.0,4.0,7.14,4,24,299,89.8082191780822,81.91780821917808,1 bath,27.35,2.0,0.0,14.340544203208761
31,"Denver, Colorado, United States",within an hour,100.0,94.0,t,Stapleton,1,"['email', 'phone']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,3.0,5,32,t,0,174,20,2,4.97,4.98,5.0,4.99,4.99,4.94,4.9,f,233.22739726027396,233.22739726027396,32.796581084687745,3.0,6.0,1.47,0,5,161,107.35616438356165,44.109589041095894,2.5 baths,38.87123287671233,2.0,0.0,14.062061948960421
32,"Denver, Colorado, United States",within an hour,94.0,99.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Denver, Colorado, United States",Entire bungalow,Entire home/apt,2.0,2,60,t,2,65,48,4,4.98,4.94,4.97,4.98,4.97,4.97,4.98,f,130.18356164383562,130.18356164383562,2.0891539442847042,2.0,2.0,4.03,5,5,5,1.7506849315068493,1.36986301369863,1 bath,65.09178082191781,1.0,0.0,1.6047755322598587
33,"Denver, Colorado, United States",within an hour,100.0,100.0,t,Five Points,0,"['email', 'phone']",t,neighbourhood not available,Entire home,Entire home/apt,3.0,2,28,t,5,152,32,2,4.97,4.94,4.89,4.97,4.93,4.87,4.87,f,494.65205479452055,494.65205479452055,136.59888350627847,6.0,8.0,1.29,13,31,199,262.83561643835617,54.52054794520548,2.5 baths,61.83150684931507,1.3333333333333333,0.0,27.61514526873277
34,"Denver, Colorado, United States",within a few hours,100.0,67.0,f,Lowry Field,2,"['email', 'phone']",t,"Denver, Colorado, United States",Private room in townhouse,Private room,1.0,30,60,t,0,88,1,0,4.98,4.97,5.0,4.98,5.0,4.93,4.94,f,58.0,58.0,0.0,1.0,2.0,1.01,0,24,67,10.646575342465754,18.356164383561644,1.5 baths,29.0,2.0,0.0,0.0
35,"Denver, Colorado, United States",within an hour,100.0,98.0,t,South Park Hill,1,"['email', 'phone']",t,"Denver, Colorado, United States",Entire guest suite,Entire home/apt,2.0,2,60,t,1,352,39,1,4.9,4.92,4.94,4.95,4.94,4.84,4.9,f,104.3013698630137,104.3013698630137,21.452275764611958,2.0,4.0,3.08,26,51,304,88.44383561643835,83.28767123287672,1 bath,26.075342465753426,2.0,0.0,20.56758774384913
36,"Denver, Colorado, United States",within an hour,100.0,100.0,t,North Park Hill,4,"['email', 'phone']",t,neighbourhood not available,Private room in home,Private room,2.0,1,1125,t,4,21,3,0,4.86,4.9,4.95,4.95,5.0,5.0,4.86,f,180.0,180.0,0.0,2.0,4.0,0.18,25,35,35,17.26027397260274,9.58904109589041,1 private bath,45.0,2.0,0.0,0.0
37,"Denver, Colorado, United States",within a day,90.0,67.0,f,City Park West,6,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Entire rental unit,Entire home/apt,1.0,30,186,t,0,35,2,0,4.79,4.71,4.91,4.79,4.63,4.97,4.71,f,88.4904109589041,88.4904109589041,7.0139610460797055,1.0,2.0,0.3,24,54,329,80.26027397260275,90.13698630136986,1 bath,44.24520547945205,2.0,0.0,7.92623852694849
38,"Denver, Colorado, United States",within a day,100.0,88.0,t,Platt Park,4,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Entire home,Entire home/apt,3.0,3,49,t,0,99,14,1,4.89,4.96,4.97,4.94,4.98,4.96,4.87,f,257.9808219178082,257.9808219178082,63.114470958549134,3.0,6.0,0.86,7,14,264,178.24109589041095,72.32876712328768,3 baths,42.99680365296803,2.0,0.0,24.464791797065125
