,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
23,"Los Angeles, CA",within an hour,100.0,95.0,t,host neighbourhood not available,6,"['email', 'phone']",t,"Belize City, Belize",Entire rental unit,Entire home/apt,1.0,2,1125,t,30,26,1,0,4.88,4.84,4.92,4.96,5.0,4.44,4.68,f,162.47123287671232,162.47123287671232,3.3078942976809835,3.0,3.0,0.22,43,64,339,150.93150684931507,92.87671232876711,1 bath,54.15707762557077,1.0,0.0,2.0359876878580137
24,Belize,within an hour,100.0,97.0,t,host neighbourhood not available,5,"['email', 'phone']",t,"Caye Caulker, Belize district, Belize",Tiny home,Entire home/apt,1.7646198830409356,3,62,t,12,207,26,2,4.79,4.9,4.7,4.9,4.96,4.74,4.82,f,120.06849315068493,120.06849315068493,4.220335278864048,2.0,3.0,1.76,26,43,234,76.64109589041095,64.10958904109589,1 bath,40.02283105022831,1.5,0.0,3.5149398215296688
25,"Placencia, Belize",within an hour,100.0,100.0,t,host neighbourhood not available,10,"['email', 'phone']",t,"Placencia, Stann Creek, Belize",Entire serviced apartment,Entire home/apt,2.0,28,180,t,14,50,1,0,4.84,4.69,4.92,4.92,4.85,4.71,4.71,t,365.36712328767123,365.36712328767123,70.58933248875,2.0,4.0,0.44,22,52,177,206.23561643835617,48.49315068493151,2 baths,91.34178082191781,2.0,0.0,19.32011064749567
26,"Osoyoos, Canada",within an hour,100.0,100.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire home,Entire home/apt,1.0,1,365,t,30,39,2,0,4.79,4.87,5.0,4.82,4.95,4.38,4.62,f,301.0,301.0,0.0,4.0,4.0,0.37,60,90,365,301.0,100.0,1 bath,75.25,1.0,0.0,0.0
27,"Los Angeles, CA",within an hour,100.0,95.0,t,host neighbourhood not available,6,"['email', 'phone']",t,"Belize City, Belize",Entire home,Entire home/apt,4.0,1,1125,t,26,78,26,1,4.9,4.99,4.96,5.0,5.0,4.72,4.92,f,405.6767123287671,405.6767123287671,9.668382260499953,5.0,8.0,0.87,46,50,50,55.342465753424655,13.698630136986301,2 baths,50.70958904109589,1.6,0.0,2.3832726815890126
28,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Belize City, Belize",Room in hotel,Private room,1.0,1,1125,t,27,11,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.91,f,351.1808219178082,351.1808219178082,14.799582871444374,1.0,2.0,0.11,40,46,260,250.9013698630137,71.23287671232876,1 private bath,175.5904109589041,2.0,0.0,4.214234362407218
29,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,1125,t,24,11,1,0,4.8,5.0,4.9,5.0,5.0,4.8,4.9,f,305.9698630136986,305.9698630136986,13.128765131659641,1.0,2.0,0.1,50,64,278,232.33972602739726,76.16438356164383,1 private bath,152.9849315068493,2.0,0.0,4.290868715744025
30,Bahamas,within an hour,100.0,100.0,t,host neighbourhood not available,5,"['email', 'phone']",t,"Caye Caulker, Belize",Entire bungalow,Entire home/apt,2.0,2,1125,t,24,225,51,1,4.75,4.8,4.83,4.82,4.78,4.63,4.73,t,202.52602739726026,202.52602739726026,27.15012206981467,2.0,5.0,2.12,35,54,218,120.83013698630137,59.726027397260275,2 baths,40.50520547945205,2.5,0.0,13.405744643654602
31,"Belize City, Belize",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Belize City, Belize",Entire rental unit,Entire home/apt,3.0,2,1125,t,30,84,28,1,4.86,4.94,4.9,4.96,4.95,4.74,4.88,f,192.33424657534246,192.33424657534246,16.62855530172572,3.0,6.0,0.89,60,83,316,166.8876712328767,86.57534246575342,1.5 baths,32.05570776255708,2.0,0.0,8.645654945913062
32,"Belize City, Belize",within a day,100.0,0.0,f,host neighbourhood not available,9,"['email', 'phone']",f,neighbourhood not available,Boat,Entire home/apt,3.0,4,28,t,30,0,0,0,4.685086442220193,4.742401466544451,4.772653528872584,4.823373052245643,4.785879926672776,4.728010999083404,4.696911090742434,f,3687.0,3687.0,0.0,3.0,6.0,0.6407142857142856,60,90,365,3687.0,100.0,3 baths,614.5,2.0,0.0,0.0
33,Belize,within an hour,97.0,99.0,f,host neighbourhood not available,12,"['email', 'phone']",t,"Belize, Belize District, Belize",Entire rental unit,Entire home/apt,1.0,1,1125,t,25,185,23,0,4.52,4.66,4.48,4.88,4.71,4.08,4.59,f,84.84109589041095,84.84109589041095,8.625731942448558,1.0,2.0,1.64,55,85,346,80.5095890410959,94.79452054794521,1 bath,42.42054794520548,2.0,0.0,10.166926596033598
