,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
35,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,0,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,79.0,79.0,0.0,1.0,1.0,0.04,20,50,325,70.34246575342466,89.04109589041096,1 private bath,79.0,1.0,0.0,0.0
36,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,22,3,0,0,4.0,4.33,3.0,4.67,4.67,5.0,4.33,t,69.0,69.0,0.0,1.0,1.0,0.03,52,82,357,67.4876712328767,97.80821917808218,1 private bath,69.0,1.0,0.0,0.0
37,Singapore,within a day,100.0,17.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Private room in earthen home,Private room,1.0,92,1125,t,6,10,1,0,4.7,4.7,4.9,4.8,5.0,4.3,4.6,f,55.02739726027397,55.02739726027397,9.050488121648598,1.0,2.0,0.09,35,35,210,33.794520547945204,57.534246575342465,1 bath,27.513698630136986,2.0,0.0,16.44724005178859
38,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,0,9,0,0,4.14,4.29,4.43,4.83,4.57,4.83,4.17,t,59.0,59.0,0.0,1.0,1.0,0.09,0,0,264,42.673972602739724,72.32876712328768,3 shared baths,59.0,1.0,0.0,0.0
39,host location not available,response not available,88.43647363872083,72.99303621169916,f,Novena,5,"['email', 'phone']",f,"Singapore, Singapore",Private room in home,Private room,1.0,108,1125,f,0,0,0,0,4.473590038314174,4.5999688352162,4.502138683287879,4.685621347876895,4.693383956386282,4.701990650564858,4.494713673548885,f,30.0,30.0,0.0,4.0,4.0,1.0008237547892704,0,0,0,0.0,0.0,1 bath,7.5,1.0,0.0,0.0
40,Singapore,within a day,100.0,72.99303621169916,f,Kallang,2,"['email', 'phone']",t,"Singapore, Singapore",Entire townhouse,Entire home/apt,4.0,96,100,t,30,0,0,0,4.473590038314174,4.5999688352162,4.502138683287879,4.685621347876895,4.693383956386282,4.701990650564858,4.494713673548885,t,130.0191780821918,130.0191780821918,0.20208904457162946,12.0,8.0,1.0008237547892704,60,90,365,130.0191780821918,100.0,4 baths,16.252397260273973,0.6666666666666666,0.0,0.15543018157204364
41,host location not available,response not available,88.43647363872083,72.99303621169916,f,Bukit Merah,1,"['email', 'phone']",f,"Singapore, Singapore",Private room in rental unit,Private room,1.0,183,365,f,0,0,0,0,4.473590038314174,4.5999688352162,4.502138683287879,4.685621347876895,4.693383956386282,4.701990650564858,4.494713673548885,f,60.0,60.0,0.0,1.0,1.0,1.0008237547892704,0,0,0,0.0,0.0,1 bath,60.0,1.0,0.0,0.0
42,Singapore,within a day,90.0,100.0,f,Kallang,181,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,365,t,22,5,0,0,4.4,4.6,4.2,5.0,5.0,4.8,4.2,t,79.0,79.0,0.0,1.0,1.0,0.09,52,82,357,77.26849315068493,97.80821917808218,1.5 baths,79.0,1.0,0.0,0.0
43,Singapore,response not available,88.43647363872083,72.99303621169916,f,Ang Mo Kio,1,"['email', 'phone']",t,neighbourhood not available,Private room in home,Private room,1.0,92,1125,f,0,0,0,0,4.473590038314174,4.5999688352162,4.502138683287879,4.685621347876895,4.693383956386282,4.701990650564858,4.494713673548885,f,216.0,216.0,0.0,2.0,3.0,1.0008237547892704,0,0,0,0.0,0.0,1 bath,72.0,1.5,0.0,0.0
44,host location not available,response not available,88.43647363872083,72.99303621169916,f,Bukit Batok,1,"['email', 'phone']",f,neighbourhood not available,Private room in rental unit,Private room,1.0,92,1125,f,0,0,0,0,4.473590038314174,4.5999688352162,4.502138683287879,4.685621347876895,4.693383956386282,4.701990650564858,4.494713673548885,f,88.02739726027397,88.02739726027397,6.3461777947627445,1.0,1.0,1.0008237547892704,0,0,0,0.0,0.0,1 bath,88.02739726027397,1.0,0.0,7.209321179858081
