,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
23,"Antwerp, Flanders, Belgium",within an hour,80.0,47.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Private room in home,Private room,1.0,7,365,t,0,6,3,0,4.8,5.0,4.4,5.0,4.8,4.6,4.8,f,15.602739726027398,15.602739726027398,0.490002411616549,2.0,3.0,0.17,3,18,244,10.482191780821918,66.84931506849315,3 shared baths,5.200913242009133,1.5,0.0,3.140489556453738
24,"Aartselaar, Flanders, Belgium",within a day,100.0,51.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire loft,Entire home/apt,2.0,3,1125,t,14,28,7,1,4.64,4.68,4.5,4.68,4.82,4.93,4.59,f,192.24109589041095,192.24109589041095,15.827259795741,2.0,4.0,0.26,33,58,148,74.73972602739725,40.54794520547945,3 baths,48.06027397260274,2.0,0.0,8.233026202037204
25,"Edegem, Flanders, Belgium",within a few hours,100.0,64.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Private room in boat,Private room,10.0,1,1125,t,21,31,25,1,4.81,4.87,4.32,4.87,4.87,5.0,4.65,f,65.8082191780822,65.8082191780822,9.44716006842387,20.0,16.0,1.09,38,62,328,57.917808219178085,89.86301369863014,2 shared baths,4.113013698630137,0.8,0.0,14.355592943275239
26,"Lagos, Faro, Portugal",within an hour,100.0,100.0,t,host neighbourhood not available,3,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.0,2,1125,t,0,49,0,0,4.83,4.71,4.76,4.87,4.91,4.85,4.8,f,43.912328767123284,43.912328767123284,2.5023036202864612,1.0,2.0,0.45,0,0,0,0.0,0.0,1 bath,21.956164383561642,2.0,0.0,5.698407919918632
27,"Edegem, Flanders, Belgium",within a few hours,100.0,64.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Private room in boat,Private room,11.0,1,1125,t,15,174,35,2,4.5,4.51,4.25,4.69,4.68,4.85,4.37,f,65.8082191780822,65.8082191780822,9.44716006842387,16.0,16.0,1.6,39,61,322,57.0958904109589,88.21917808219179,2 shared baths,4.113013698630137,1.0,0.0,14.355592943275239
28,"Antwerp, Flanders, Belgium",within an hour,100.0,75.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,6,600,t,8,42,1,1,4.63,4.76,4.66,4.93,4.88,4.41,4.46,f,85.01643835616439,85.01643835616439,0.16492897125044892,1.0,2.0,0.39,8,8,271,63.10958904109589,74.24657534246575,1.5 baths,42.50821917808219,2.0,0.0,0.1939965663575581
29,"Antwerp, Flanders, Belgium",within a day,86.0,17.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,2.0,5,1125,t,0,35,1,0,4.83,4.91,4.82,4.97,4.94,4.62,4.97,f,65.0,65.0,0.0,2.0,4.0,0.33,0,0,234,41.67123287671233,64.10958904109589,1 bath,16.25,2.0,0.0,0.0
30,"Antwerp, Flanders, Belgium",within a few hours,100.0,86.0,t,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire loft,Entire home/apt,1.0,2,60,t,1,234,30,0,4.96,4.94,4.98,4.98,4.96,4.92,4.92,f,111.52328767123288,111.52328767123288,2.3293705552147395,1.0,2.0,2.26,4,4,269,82.17534246575343,73.6986301369863,1 bath,55.76164383561644,2.0,0.0,2.088685335462536
31,"Antwerpen, Flemish Region, Belgium",within a few hours,95.0,82.0,f,host neighbourhood not available,4,"['email', 'phone']",t,neighbourhood not available,Private room in townhouse,Private room,1.0,2,366,t,1,55,19,2,4.51,4.73,3.78,4.8,4.84,4.73,4.6,f,36.013698630136986,36.013698630136986,1.569744420690629,1.0,2.0,1.05,1,1,87,8.632876712328768,23.835616438356162,1 shared bath,18.006849315068493,2.0,0.0,4.3587425907347255
32,"Antwerpen, Vlaams Gewest, Belgium",response not available,94.61366245694605,0.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,30,1125,t,5,12,0,0,4.67,4.67,4.67,4.82,4.64,4.36,4.55,t,45.0,45.0,0.0,1.0,2.0,0.12,12,19,260,32.054794520547944,71.23287671232876,1 bath,22.5,2.0,0.0,0.0
